id,country,regions
99,Indonesia,Asia
100,Iran,Asia
101,Iraq,Asia
102,Ireland,Europe
103,Israel,Asia
104,Italy,Europe
105,Ivory Coast,Africa
106,Jamaica,Caribbean
107,Japan,Asia
108,Jordan,Asia
109,Kazakhstan,Asia
110,Kenya,Africa
111,Kiribati,Oceania
112,Kuwait,Asia
113,Kyrgyzstan,Asia
114,Laos,Asia
115,Kosovo,Europe
116,Latvia,Europe
117,Lebanon,Asia
118,Lesotho,Africa
119,Liberia,Africa
120,Libya,Africa
121,Liechtenstein,Europe
122,Lithuania,Europe
123,Luxembourg,Europe
124,Macao,Asia
125,Macedonia,Europe
126,Madagascar,Africa
127,Malawi,Africa
128,Malaysia,Asia
129,Maldives,Asia
130,Mali,Africa
131,Malta,Europe
132,Marshall Islands,Oceania
133,Martinique,Caribbean
134,Mauritania,Africa
135,Mauritius,Africa
136,Mayotte,Africa
137,Mexico,North America
138,Micronesia,Oceania
139,Moldova,Europe
140,Monaco,Europe
141,Mongolia,Asia
142,Montserrat,Caribbean
143,Morocco,Africa
144,Mozambique,Africa
145,Myanmar,Asia
146,Namibia,Africa
147,Nauru,Oceania
148,Nepal,Asia
149,Montenegro,Europe
150,Netherlands,Europe
151,Netherlands Antilles,Caribbean
152,New Caledonia,Oceania
153,New Zealand,Oceania
154,Nicaragua,Central America
155,Niger,Africa
156,Nigeria,Africa
157,Niue,Oceania
158,Norfolk Island,Oceania
159,North Korea,Asia
160,Northern Mariana Islands,Oceania
161,Norway,Europe
162,Oman,Asia
163,Pakistan,Asia
164,Palau,Oceania
165,Palestinian Territory,Asia
166,Panama,Central America
167,Papua New Guinea,Oceania
168,Paraguay,South America
169,Peru,South America
170,Philippines,Asia
171,Pitcairn,Oceania
172,Poland,Europe
173,Portugal,Europe
174,Puerto Rico,Caribbean
175,Qatar,Asia
176,Republic of the Congo,Africa
177,Reunion,Africa
178,Romania,Europe
179,Russia,Europe
180,Rwanda,Africa
181,Saint Helena,Africa
182,Saint Kitts and Nevis,Caribbean
183,Saint Lucia,Caribbean
184,Saint Pierre and Miquelon,North America
185,Saint Vincent and the Grenadines,Caribbean
186,Samoa,Oceania
187,San Marino,Europe
188,Sao Tome and Principe,Africa
189,Saudi Arabia,Asia
190,Senegal,Africa
191,Serbia,Europe
192,Seychelles,Africa
193,Sierra Leone,Africa
194,Singapore,Asia
195,Slovakia,Europe
196,Slovenia,Europe
197,Solomon Islands,Oceania
198,Somalia,Africa
199,South Africa,Africa
200,South Georgia and the South Sandwich Islands,Antarctica
201,South Korea,Asia
202,Spain,Europe
203,Sri Lanka,Asia
204,Sudan,Africa
205,Suriname,South America
206,Svalbard and Jan Mayen,Europe
207,Swaziland,Africa
208,Sweden,Europe
209,Switzerland,Europe
210,Syria,Asia
211,Taiwan,Asia
212,Tajikistan,Asia
213,Tanzania,Africa
214,Thailand,Asia
215,Togo,Africa
216,Tokelau,Oceania
217,Tonga,Oceania
218,Trinidad and Tobago,Caribbean
219,Tunisia,Africa
220,Turkey,Asia
221,Turkmenistan,Asia
222,Turks and Caicos Islands,Caribbean
223,Tuvalu,Oceania
224,U.S. Virgin Islands,Caribbean
225,Uganda,Africa
226,Ukraine,Europe
227,United Arab Emirates,Asia
228,United Kingdom,Europe
229,United States,North America
230,United States Minor Outlying Islands,Oceania
231,Uruguay,South America
232,Uzbekistan,Asia
233,Vanuatu,Oceania
234,Vatican,Europe
235,Venezuela,South America
236,Vietnam,Asia
237,Wallis and Futuna,Oceania
238,Western Sahara,Africa
239,Yemen,Asia
240,Zambia,Africa
241,Zimbabwe,Africa
